PIN ,Pin number in processor,NAME ,MODE0 ,MODE1 ,MODE2 ,MODE3 ,MODE4 ,MODE6 ,MODE7,
19* ,U10 ,EHRPWM2A ,gpmc_ad8 ,lcd_data23 ,mmc1_dat0* ,mmc2_dat4 ,ehrpwm2A ,  ,GPIO0[22],
20* ,V9 ,GPIO1_31 ,gpmc_csn2 ,gpmc_be1n ,mmc1_cmd* ,  ,  ,  ,GPIO1[31],
21* ,U9 ,GPIO1_30 ,gpmc_csn1 ,gpmc_clk ,mmc1_clk* ,  ,  ,  ,GPIO1[30],
22,V8 ,GPIO1_5 ,gpmc_ad5 ,mmc1_dat5 ,  ,  ,  ,  ,GPIO1[5],
23,U8 ,GPIO1_4 ,gpmc_ad4 ,mmc1_dat4 ,  ,  ,  ,  ,GPIO1[4],
24,V7 ,GPIO1_1 ,gpmc_ad1 ,mmc1_dat1 ,  ,  ,  ,  ,GPIO1[1],
25,U7 ,GPIO1_0 ,gpmc_ad0 ,mmc1_dat0 ,  ,  ,  ,  ,GPIO1[0],
26,V6 ,GPIO1_29 ,gpmc_csn0 ,  ,  ,  ,  ,  ,GPIO1[29],
27* ,U5 ,GPIO1_22 ,lcd_vsync* ,gpmc_a8 ,  ,  ,  ,  ,GPIO2[22],
28* ,V5 ,GPIO1_24 ,lcd_pcik* ,gpmc_a10 ,  ,  ,  ,  ,GPIO2[24],
29* ,R5 ,GPIO1_23 ,lcd_hsync* ,gpmc_a9 ,  ,  ,  ,  ,GPIO2[23],
30* ,R6 ,GPIO1_25 ,lcd_ac_bias_en* ,gpmc_a11 ,  ,  ,  ,  ,GPIO2[25],
31* ,V4 ,UART5_CTSN ,lcd_data14* ,gpmc_a18 ,eQEP1_index ,mcasp0_axr1 ,uart5_rxd ,uart5_ctsn ,GPIO0[10],
32* ,T5 ,UART5_RTSN ,lcd_data15* ,gpmc_a19 ,eQEP1_strobe ,mcasp0_ahclkx ,mcasp0_axr3 ,uart5_rtsn ,GPIO0[11},
33* ,V3 ,UART4_RTSN ,lcd_data13* ,gpmc_a17 ,eQEP1B_in ,mcasp0_fsr ,mcasp0_axr3 ,uart4_rtsn ,GPIO0[9],
34* ,U4 ,UART3_RTSN ,lcd_data11* ,gpmc_a15 ,ehrpwm1A ,mcasp0_ahclkr ,mcasp0_axr2 ,uart3_rtsn ,GPIO2[17],
35* ,V2 ,UART4_CTSN ,lcd_data12* ,gpmc_a16 ,ehrpwm1_tripzone ,mcasp0_aclkr ,mcasp0_axr2 ,uart4_ctsn ,GPIO0[8],
36* ,U3 ,UART3_CTSN ,lcd_data10* ,gpmc_a14 ,ehrpwm0_synco ,mcasp0_axr0 ,  ,uart3_ctsn ,GPIO2[16],
37* ,U1 ,UART5_TXD ,lcd_data8* ,gpmc_a12 ,  ,mcasp0_aclkx ,uart5,,,
_txd ,uart2_ctsn ,GPIO2[14],,,,,,,,
38* ,U2 ,UART5_RXD ,lcd_data9* ,gpmc_a13 ,  ,mcasp0_fsx ,uart5_rxd ,uart_rtsn ,GPIO2[15],
39* ,T3 ,GPIO2_12 ,lcd_data6* ,gpmc_a6 ,  ,eQEP2_index ,  ,  ,GPIO2[12],
40* ,T4 ,GPIO2_13 ,lcd_data7* ,gpmc_a7 ,  ,eQEP2_strobe ,pr1_edio_data_out7 ,  ,GPIO2[13],
41* ,T1 ,GPIO2_10 ,lcd_data4* ,gpmc_a4 ,  ,eQEP2A_in ,  ,  ,GPIO2[10],
42* ,T2 ,GPIO2_11 ,lcd_data5* ,gpmc_a5 ,  ,eQEP2B_in ,  ,  ,GPIO2[11],
43* ,R3 ,GPIO2_8 ,lcd_data2* ,gpmc_a2 ,  ,ehrpwm2_tripzone ,  ,  ,GPIO2[8],
44* ,R4 ,GPIO2_9 ,lcd_data3* ,gpmc_a3 ,  ,ehrpwm_synco ,  ,  ,GPIO2[9],
45* ,R1 ,GPIO2_6 ,lcd_data0* ,gpmc_a0 ,  ,ehrpwm2A ,  ,  ,GPIO2[6],
46* ,R2 ,GPIO2_7 ,lcd_data1* ,gpmc_a1 ,  ,ehrpwm2B ,  ,  ,GPIO2[7],
